AnotherStarPublic,2024-05=17 18:18:31,그믐달 꽃 폴리지 수정
AnotherStarPublic,2024-05=17 17:56:54,JH : 그믐달 물 수정
AnotherStarPublic,2024-05=17 17:41:15,0517HS
AnotherStarPublic,2024-05=17 15:18:35,JH : 그믐달 지형수정
AnotherStarPublic,2024-05=16 18:52:20,vr 게임모드 변경
AnotherStarPublic,2024-05=16 18:45:09,풀 PCG, 오프닝 VR 확인
AnotherStarPublic,2024-05=16 18:42:28,0516HS
AnotherStarPublic,2024-05=16 11:46:49,0516HS
AnotherStarDoner,2024-05=16 02:15:49,doner_풀PCG
AnotherStarPublic,2024-05=14 18:06:14,0514HS
AnotherStarPublic,2024-05=14 13:30:44,JH : 풀 PCG 수정
AnotherStarPublic,2024-05=13 17:47:44,5.4.1 Migration 완료
AnotherStarPublic,2024-05=13 16:01:29,TeleportVisualizer 수정 완료
AnotherStarPublic,2024-05=13 15:51:26,5.4 버전 Migration
AnotherStarPublic,2024-05=13 14:51:56,JH : 그믐달지형 수정
AnotherStarPublic,2024-05=10 18:57:10,JH : 그믐달 지형 수정
AnotherStarPublic,2024-05=10 17:52:31,0510HS
AnotherStarPublic,2024-05=09 19:01:36,풀 PCG 수정, 그믐달지형 VR 테스트
AnotherStarPublic,2024-05=08 18:26:10,JH : map_art03 수정
AnotherStarPublic,2024-05=08 18:03:19,0508HS
AnotherStarPublic,2024-05=08 12:39:03,JH : Envi 수정
AnotherStarPublic,2024-05=07 18:39:29,0507HS
AnotherStarPublic,2024-05=07 16:53:39,doner_VR뷰확인 클리스탈
AnotherStarPublic,2024-05=07 13:32:56,JH : 그믐달 꽃 테스트
AnotherStarPublic,2024-05=07 12:18:18,0507HS
AnotherStarPublic,2024-05=03 10:25:18,AY : Opening_3_0503
AnotherStarDoner,2024-05=03 01:05:13,doner_빼먹은거 추가
AnotherStarDoner,2024-05=03 01:01:27,doner_실바람 1600 넣어보기
AnotherStarPublic,2024-05=02 19:03:05,0502HS
AnotherStarPublic,2024-05=02 18:50:42,JH : 그믐달 지형 물 교체
AnotherStarPublic,2024-04=30 18:23:09,0430HS
AnotherStarPublic,2024-04=30 12:53:11,라이트 세팅 변경
AnotherStarPublic,2024-04=29 18:47:05,물 테스트
AnotherStarPublic,2024-04=29 18:33:12,0424HS
AnotherStarPublic,2024-04=29 10:41:43,FluidFlux 추가
AnotherStarDoner,2024-04=29 00:38:13,doner_디스플레이스먼트맵
AnotherStarPublic,2024-04=26 18:02:09,JH : 실바람언덕 풀 테스트
AnotherStarPublic,2024-04=26 13:07:29,0426HS
AnotherStarPublic,2024-04=25 19:03:22,0425HS
AnotherStarPublic,2024-04=25 18:23:39,JH : 그믐달노래정원 수정
AnotherStarPublic,2024-04=24 18:25:47,JH : 낮은 풀
AnotherStarPublic,2024-04=24 18:05:52,0424HS
AnotherStarPublic,2024-04=24 10:47:51,Map_art05 레벨 수정
AnotherStarPublic,2024-04=24 10:36:13,Map_art05 레벨 생성
AnotherStarPublic,2024-04=23 18:05:30,0423HS
AnotherStarPublic,2024-04=23 13:05:50,JH : 그믐달노래정원 폴리지 수정
AnotherStarPublic,2024-04=22 19:12:18,0422HS
AnotherStarPublic,2024-04=22 18:47:47,JH : 낮은 풀 수정
AnotherStarPublic,2024-04=22 13:05:44,JH : 실바람언덕 풀 수정
AnotherStarPublic,2024-04=22 11:41:58,doner_풀재질전달
AnotherStarPublic,2024-04=22 10:57:58,JH : 낮은풀 수정
AnotherStarPublic,2024-04=19 18:08:34,JH : 실바람언덕 VR 테스트
AnotherStarPublic,2024-04=18 18:33:37,JH : 실바람언덕 수정
AnotherStarPublic,2024-04=17 19:09:48,0417HS
AnotherStarPublic,2024-04=17 18:54:30,JH : 그믐달노래정원 수정
AnotherStarDoner,2024-04=16 21:56:21,doner_폴더정리
AnotherStarPublic,2024-04=16 18:13:09,0416HS
AnotherStarPublic,2024-04=16 12:58:11,더미, 테스트 메터리얼 삭제
AnotherStarPublic,2024-04=16 12:06:43,JH : 동굴 수정 및 파일정리
AnotherStarDoner,2024-04=16 01:39:12,doner_촬영용
AnotherStarPublic,2024-04=15 18:08:08,JH : 실바람, 그믐달 수정
AnotherStarPublic,2024-04=15 12:50:48,JH : 실바람언덕 풀 수정
AnotherStarPublic,2024-04=13 17:54:24,폴리지 수정 및 레벨 복제
AnotherStarPublic,2024-04=12 19:04:07,JH : 실바람언덕 vr 확인
AnotherStarPublic,2024-04=12 14:45:36,0412HS
AnotherStarDoner,2024-04=12 00:46:35,doner_촬영용씬
AnotherStarPublic,2024-04=11 18:11:35,0411HS
AnotherStarPublic,2024-04=11 18:08:51,JH : 실바람언덕 수정
AnotherStarPublic,2024-04=11 11:54:26,아트 레벨 복제
AnotherStarPublic,2024-04=09 17:54:26,0409HS
AnotherStarPublic,2024-04=09 13:11:59,JH : 그믐달 동선 수정
AnotherStarDoner,2024-04=09 01:13:36,doner_절벽재질 옮겨넣음
AnotherStarPublic,2024-04=08 19:47:13,CookK 나나이트화 + 캐릭터 import 및 Collision 테스트
AnotherStarPublic,2024-04=08 19:12:24,CookK 캐릭터 import
AnotherStarPublic,2024-04=08 19:01:07,JH : 그믐달노래정원 풀 테스트
AnotherStarPublic,2024-04=08 17:51:32,AY : UI 작업
